#{"t_start": 1585925231.215345, "env_id": "SoftReacher-v0"}
r,l,t
-51.582325,7,282.71274
-163.228667,8,283.305825
-32.39764,3,283.590376
-38.933661,3,283.778361
-172.31061,15,284.83618
-110.608152,5,285.198452
-77.882941,9,285.830781
-10.208983,1,285.929768
-105.770763,12,286.745109
-26.512791,4,286.995621
-7.09323,1,287.057683
-8.616489,3,287.235594
-160.573647,14,288.225234
-99.307278,6,288.570189
-4.49968,1,288.647836
-18.180249,1,288.709055
-168.913949,8,289.32521
-58.02979,4,289.599816
-17.849464,1,289.658755
-225.007811,11,290.537334
-16.863111,2,290.63407
-32.450132,2,290.754725
-56.874585,3,291.001872
-25.137764,4,291.238837
-38.305641,2,291.357873
-31.618692,3,291.533099
-124.706153,7,292.030174
-221.711539,18,293.297317
-15.845475,1,293.362838
-33.967896,7,293.898215
-19.184888,2,294.012204
-120.618951,7,294.467551
-79.858762,6,294.814145
-16.348434,2,294.930486
-20.851972,2,295.043061
-19.81272,1,295.079748
-85.037739,5,295.372169
-136.697042,8,295.933743
-180.539071,16,297.066038
-9.437514,1,297.104773
-29.968027,7,297.559186
-25.170639,4,297.885019
-29.43806,2,297.996212
-21.774624,4,298.232054
-77.371881,9,298.811449
-79.828004,11,299.610861
-24.120736,5,299.956191
-110.046927,8,300.522414
-299.696708,15,301.642973
-159.470771,8,302.146115
-88.443805,10,302.766325
-22.702634,2,302.880459
-27.573437,3,303.050659
-19.665992,4,303.280035
-18.861962,1,303.314666
-47.179198,3,303.51062
-16.039701,1,303.568494
-16.644596,5,303.87709
-65.764527,4,304.130373
-16.8773,1,304.168529
-131.027208,9,304.797858
-30.107291,2,304.970363
-68.111166,9,305.537661
-183.102284,13,306.457039
-47.784019,9,307.091201
-125.778582,12,307.877252
-61.543396,7,308.36451
-184.641122,9,309.012779
-20.177174,5,309.31863
-234.523352,11,310.107462
-56.259326,3,310.275209
-127.136233,7,310.724171
-89.612413,5,311.054593
-116.764339,6,311.433771
-60.951504,3,311.695317
-4.786854,7,312.165174
-21.888943,1,312.222281
-15.777957,2,312.334069
-36.174349,5,312.637795
-93.323389,7,313.105915
-47.091602,3,313.281726
-90.563077,5,313.609443
-144.186713,8,314.123301
-21.154704,2,314.236121
